relative_path,bytes,pages,text_chars,status,text_file
1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Portable In-Pit Welding Shop for Shovel Buckets.pdf,575733,6,5352,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__2. Tactical__Portable In-Pit Welding Shop for Shovel Buckets.txt
1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Service Card System.pdf,1191603,5,6707,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__2. Tactical__Service Card System.txt
"1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Support for transporta​tion and R&I of 793 front Wheel, Brake and suspension.pdf",935410,8,11599,error,
1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Temporary Rim & Tires for Shop Transportation and Support.pdf,255808,5,7603,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__2. Tactical__Temporary Rim & Tires for Shop Transportation and Support.txt
1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Tool for R&I of the 797F High Pressure Fuel Pump.pdf,1713617,9,14094,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__2. Tactical__Tool for R&I of the 797F High Pressure Fuel Pump.txt
"1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Tool for Track Mounting in D9, D10 and D11 TTT Series on Maintenance Conveyor.pdf",329156,6,9114,error,
1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Adjustable Guard Storage Vehicle.pdf,1324816,9,7154,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__3. Quick Win__Adjustable Guard Storage Vehicle.txt
1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Backpack for Field Service Electrician Tools.pdf,804862,10,14880,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__3. Quick Win__Backpack for Field Service Electrician Tools.txt
1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Contamination Control Covers during Cylinder Block Removal and Installation.pdf,353575,6,7753,error,
1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Large Hex Stick Cylinder Transport Brackets.pdf,138461,4,6124,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__3. Quick Win__Large Hex Stick Cylinder Transport Brackets.txt
1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Platform for working on the TTT undercarriage.pdf,2545025,9,12462,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__3. Quick Win__Platform for working on the TTT undercarriage.txt
1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Process for Removing Rust from Fuel Tanks.pdf,359739,10,8569,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__3. Quick Win__Process for Removing Rust from Fuel Tanks.txt
1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Scavenge Pump Support Bracket for C-175 Engine.pdf,1157987,9,14038,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__3. Quick Win__Scavenge Pump Support Bracket for C-175 Engine.txt
1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Schematics Workstation.pdf,263377,6,6539,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__3. Quick Win__Schematics Workstation.txt
1.0 Maintenance & Repair\1.04 Repair Management\3. Quick Win\Tool to Repair Damaged OHT Exhaust Pipe.pdf,451993,4,5164,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__3. Quick Win__Tool to Repair Damaged OHT Exhaust Pipe.txt
1.0 Maintenance & Repair\1.05 Component Management\1. Strategic\Leveraging PLESN Data at the Dealership.pdf,3448162,7,18520,ok,texts\1.0 Maintenance & Repair__1.05 Component Management__1. Strategic__Leveraging PLESN Data at the Dealership.txt
1.0 Maintenance & Repair\1.05 Component Management\3. Quick Win\Ripper Guard Installation Tool.pdf,20715626,10,10622,ok,texts\1.0 Maintenance & Repair__1.05 Component Management__3. Quick Win__Ripper Guard Installation Tool.txt
1.0 Maintenance & Repair\1.06 Backlog Management\1. Strategic\Backlog Execution Targets.pdf,291560,18,35324,ok,texts\1.0 Maintenance & Repair__1.06 Backlog Management__1. Strategic__Backlog Execution Targets.txt
1.0 Maintenance & Repair\1.06 Backlog Management\1. Strategic\Backlog Management .pdf,361208,14,20186,ok,texts\1.0 Maintenance & Repair__1.06 Backlog Management__1. Strategic__Backlog Management.txt
1.0 Maintenance & Repair\1.06 Backlog Management\2. Tactical\Tagging Recorded Backlogs  .pdf,230177,4,6773,ok,texts\1.0 Maintenance & Repair__1.06 Backlog Management__2. Tactical__Tagging Recorded Backlogs.txt
1.0 Maintenance & Repair\1.06 Backlog Management\3. Quick Win\Backlog Parts Staging Containers For HMS.pdf,460779,5,9152,ok,texts\1.0 Maintenance & Repair__1.06 Backlog Management__3. Quick Win__Backlog Parts Staging Containers For HMS.txt
1.0 Maintenance & Repair\1.07 Parts Management\1. Strategic\Ordering Parts with Part Store.pdf,839627,12,16578,ok,texts\1.0 Maintenance & Repair__1.07 Parts Management__1. Strategic__Ordering Parts with Part Store.txt
1.0 Maintenance & Repair\1.07 Parts Management\1. Strategic\Parts Management (Strategic).pdf,1880401,13,27787,ok,texts\1.0 Maintenance & Repair__1.07 Parts Management__1. Strategic__Parts Management (Strategic).txt
1.0 Maintenance & Repair\1.07 Parts Management\2. Tactical\Demand Planning With AMT.pdf,1388978,9,17388,ok,texts\1.0 Maintenance & Repair__1.07 Parts Management__2. Tactical__Demand Planning With AMT.txt
1.0 Maintenance & Repair\1.07 Parts Management\2. Tactical\Service Vehicle Modifications for Improved Parts Transportation.pdf,596711,10,9965,ok,texts\1.0 Maintenance & Repair__1.07 Parts Management__2. Tactical__Service Vehicle Modifications for Improved Parts Transportation.txt
1.0 Maintenance & Repair\1.07 Parts Management\3. Quick Win\Longwall Move Box Process.pdf,383375,11,16346,ok,texts\1.0 Maintenance & Repair__1.07 Parts Management__3. Quick Win__Longwall Move Box Process.txt
1.0 Maintenance & Repair\1.08 Training\1. Strategic\Apprentice Program Recommendation by Westrac.pdf,246232,14,16276,ok,texts\1.0 Maintenance & Repair__1.08 Training__1. Strategic__Apprentice Program Recommendation by Westrac.txt
1.0 Maintenance & Repair\1.08 Training\2. Tactical\Air Condition Simulation Board.pdf,1646245,7,7597,ok,texts\1.0 Maintenance & Repair__1.08 Training__2. Tactical__Air Condition Simulation Board.txt
1.0 Maintenance & Repair\1.08 Training\2. Tactical\Assurance and Accuracy in Torque Application in Tractor Link-Track Master Bolts.pdf,135914,6,7105,ok,texts\1.0 Maintenance & Repair__1.08 Training__2. Tactical__Assurance and Accuracy in Torque Application in Tractor Link-Track Master Bolts.txt
1.0 Maintenance & Repair\1.08 Training\2. Tactical\Electronic Engine Simulation Board.pdf,2136486,13,11599,ok,texts\1.0 Maintenance & Repair__1.08 Training__2. Tactical__Electronic Engine Simulation Board.txt
1.0 Maintenance & Repair\1.09 Performance Evaluation\1. Strategic\Performance Evaluation.pdf,1326152,29,48123,ok,texts\1.0 Maintenance & Repair__1.09 Performance Evaluation__1. Strategic__Performance Evaluation.txt
1.0 Maintenance & Repair\1.10 Continuous Improvement\1. Strategic\Continuous Improvement.pdf,1775947,7,14383,ok,texts\1.0 Maintenance & Repair__1.10 Continuous Improvement__1. Strategic__Continuous Improvement.txt
1.0 Maintenance & Repair\1.10 Continuous Improvement\2. Tactical\Electrical Schematic Storage and Access for Technician Use.pdf,2790899,5,5820,ok,texts\1.0 Maintenance & Repair__1.10 Continuous Improvement__2. Tactical__Electrical Schematic Storage and Access for Technician Use.txt
1.0 Maintenance & Repair\1.10 Continuous Improvement\2. Tactical\Managing Continuous Improvement Projects.pdf,94229,5,7723,ok,texts\1.0 Maintenance & Repair__1.10 Continuous Improvement__2. Tactical__Managing Continuous Improvement Projects.txt
1.0 Maintenance & Repair\1.10 Continuous Improvement\3. Quick Win\Changing the Position of the Jack Sensor Box – MD6640.pdf,1105587,5,5070,ok,texts\1.0 Maintenance & Repair__1.10 Continuous Improvement__3. Quick Win__Changing the Position of the Jack Sensor Box – MD6640.txt
1.0 Maintenance & Repair\1.10 Continuous Improvement\3. Quick Win\Continuous Improvement Board Mobile Version.pdf,603374,7,8206,ok,texts\1.0 Maintenance & Repair__1.10 Continuous Improvement__3. Quick Win__Continuous Improvement Board Mobile Version.txt
1.0 Maintenance & Repair\1.10 Continuous Improvement\3. Quick Win\Install Protector GP-Edge 994K.pdf,345469,4,4756,ok,texts\1.0 Maintenance & Repair__1.10 Continuous Improvement__3. Quick Win__Install Protector GP-Edge 994K.txt
1.0 Maintenance & Repair\1.10 Continuous Improvement\3. Quick Win\Machine Inspection Technician Toolbox.pdf,2569455,9,6794,ok,texts\1.0 Maintenance & Repair__1.10 Continuous Improvement__3. Quick Win__Machine Inspection Technician Toolbox.txt
1.0 Maintenance & Repair\1.10 Continuous Improvement\3. Quick Win\Spreader Bar Protection.pdf,1106841,0,0,error,
1.0 Maintenance & Repair\1.10 Continuous Improvement\3. Quick Win\Truck 793D - Hinge installation on the hydraulic tank cover.pdf,610343,5,6029,ok,texts\1.0 Maintenance & Repair__1.10 Continuous Improvement__3. Quick Win__Truck 793D - Hinge installation on the hydraulic tank cover.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\2. Tactical\HMS Bucket Repair Jig.pdf,240083,6,7571,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__2. Tactical__HMS Bucket Repair Jig.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\2. Tactical\Improved Method Of Shimming & Replacing OHT Tray Pads.pdf,137047,4,7039,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__2. Tactical__Improved Method Of Shimming & Replacing OHT Tray Pads.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\2. Tactical\Pneumatic Service Pit Barrier.pdf,264455,4,6100,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__2. Tactical__Pneumatic Service Pit Barrier.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\3516 Engine Crankshaft Counterweight Installation Removal tool.pdf,541466,7,8120,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__3. Quick Win__3516 Engine Crankshaft Counterweight Installation Removal tool.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Additional Safety Measures for the 793B.pdf,1142448,9,8752,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__3. Quick Win__Additional Safety Measures for the 793B.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Engine Bay Buggy Steps.pdf,220363,5,7203,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__3. Quick Win__Engine Bay Buggy Steps.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Ladder for 797 Front Suspension Maintanance.pdf,2702874,9,12819,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__3. Quick Win__Ladder for 797 Front Suspension Maintanance.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Machine Energy Maps.pdf,484679,8,10892,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__3. Quick Win__Machine Energy Maps.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Machine Lockout Device Installation for Caterpillar Equipment.pdf,198581,8,7076,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__3. Quick Win__Machine Lockout Device Installation for Caterpillar Equipment.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\MD6640 Drills - Installation of Safety Slings to Support the Mast Machinery.pdf,475165,6,8930,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__3. Quick Win__MD6640 Drills - Installation of Safety Slings to Support the Mast Machinery.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Motor Grader Edge Installation Tool.pdf,1018290,4,5792,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__3. Quick Win__Motor Grader Edge Installation Tool.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Parts Mezzanine Safety Gate.pdf,101311,4,5138,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__3. Quick Win__Parts Mezzanine Safety Gate.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\R&I Tool for 797 Steering Cylinders.pdf,3864424,11,14160,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__3. Quick Win__R&I Tool for 797 Steering Cylinders.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\R1300G Stand Chock Set.pdf,841174,4,5360,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__3. Quick Win__R1300G Stand Chock Set.txt
1.0 Maintenance & Repair\1.11 HSEC - M&R\3. Quick Win\Tool for Blocking the 793 OHT Hoist Cylinder Rod.pdf,244562,6,4894,ok,texts\1.0 Maintenance & Repair__1.11 HSEC - M&R__3. Quick Win__Tool for Blocking the 793 OHT Hoist Cylinder Rod.txt
